player_name,driving_dist,driving_acc,gir,scrambling,sg_putt,sg_app,sg_ott,sg_t2g,sg_total,round_score,birdies,pars,bogies,fan_score,play_style,Group_No
"Ancer, Abraham",288.775,0.82125,0.625,0.52225,0.3605,0.8552500000000001,0.41325,0.3659999999999999,0.7272500000000001,72.25,14,45,12,50,Aggressive,3
"Berger, Daniel",297.15,0.607,0.5835,0.422,-1.327,1.1255000000000002,0.0085,0.753,-0.5735,74.0,7,20,7,63,Balanced,12
"Bezuidenhout, Christiaan",282.175,0.71425,0.49975,0.739,0.91925,-0.905,-0.2055,-0.9425,-0.02275,73.0,10,49,12,63,Balanced,5
"Cantlay, Patrick",302.15,0.75,0.639,0.5355,-2.0335,-2.048,1.0575,-0.5405,-2.5735,76.0,5,21,7,59,Balanced,1
"Casey, Paul",299.325,0.58925,0.639,0.5535,-0.57175,1.064,-0.35975,1.2985,0.72725,72.25,15,38,18,80,Aggressive,6
"Champ, Cameron",318.775,0.71425,0.6252500000000001,0.52825,-0.503,-0.12125,1.4415,1.22975,0.72725,72.25,19,36,14,89,Aggressive,11
"Cink, Stewart",302.325,0.58925,0.639,0.63175,0.798,0.7284999999999999,-0.213,0.679,1.47725,71.5,14,46,12,67,Aggressive,7
"Conners, Corey",293.4,0.7855,0.7222500000000001,0.44275,-0.184,2.3075,0.3865,2.161,1.97725,71.0,16,40,12,93,Aggressive,13
"Couples, Fred",283.0,0.6785,0.472,0.519,-1.0565,-2.611,-0.5835,-4.0175,-5.0735,78.5,1,25,7,84,Balanced,4
"Day, Jason",293.7,0.75,0.4445,0.5625,-1.1895,-2.7585,-0.2455,-1.8845,-3.0735,76.5,4,19,13,71,Balanced,4
"DeChambeau, Bryson",323.575,0.5535,0.611,0.499,-0.2382499999999999,-0.1594999999999999,0.929,-0.0349999999999999,-0.27275,73.25,13,42,12,87,Aggressive,11
"English, Harris",296.875,0.7677499999999999,0.6252500000000001,0.5915,0.7582500000000001,0.0344999999999999,0.1475,0.2184999999999999,0.97725,72.0,12,49,6,86,Balanced,7
"Finau, Tony",305.225,0.55375,0.514,0.671,-0.1842499999999999,0.91275,-0.5960000000000001,1.9115,1.72725,71.25,16,41,13,42,Aggressive,6
"Fitzpatrick, Matthew",297.075,0.875,0.6527499999999999,0.473,-0.384,0.1085,1.115,0.861,0.47725,72.5,11,46,13,64,Balanced,3
"Fleetwood, Tommy",294.425,0.643,0.6945,0.486,-0.54325,0.4905,-0.34475,0.2697499999999999,-0.2727499999999999,73.25,12,43,13,61,Aggressive,6
"Frittelli, Dylan",309.2,0.536,0.5275,0.54,-1.921,0.502,-0.409,0.3475,-1.5735,75.0,5,20,11,65,Balanced,9
"Garcia, Sergio",302.1,0.5,0.5555,0.548,-0.903,-0.0515,-0.7715,0.3295,-0.5735,74.0,6,20,10,60,Balanced,9
"Gay, Brian",278.3,0.5715,0.4725,0.393,-0.31,-0.884,-1.8945,-2.2635,-2.5735,76.0,7,16,11,98,Balanced,1
"Griffin, Lanto",301.20000000000005,0.5355,0.5275,0.598,0.7555,-0.207,-0.581,-1.8295,-1.0735,74.5,3,25,8,55,Balanced,2
"Harman, Brian",292.975,0.6785,0.6805,0.605,0.7557499999999999,0.60175,0.34725,0.7210000000000001,1.47725,71.5,14,46,12,56,Aggressive,7
"Hatton, Tyrrell",293.7,0.6605,0.5695,0.67425,0.014,0.24175,-0.06625,1.21325,1.22725,71.75,16,43,11,87,Aggressive,7
"Herman, Jim",294.975,0.6785,0.625,0.35825,-1.2675,0.0027499999999999,0.233,-0.2557499999999999,-1.52275,74.5,14,35,19,61,Aggressive,12
"Homa, Max",297.75,0.7145,0.5555,0.6575,-0.362,-0.5090000000000001,0.119,-0.212,-0.5734999999999999,74.0,5,23,7,97,Balanced,9
"Horschel, Billy",292.625,0.7677499999999999,0.528,0.63025,0.67375,-1.663,0.3495,-1.6965,-1.02275,74.0,12,44,13,78,Aggressive,14
"Hovland, Viktor",302.9,0.768,0.5835,0.5335,0.2175,-0.7889999999999999,1.283,0.7592500000000001,0.97725,72.0,19,35,14,56,Aggressive,11
"Hughes, Mackenzie",290.875,0.6785,0.5835,0.514,-0.24975,-0.48025,0.05575,0.22625,-0.02275,73.0,13,43,15,58,Aggressive,8
"Im, Sungjae",291.15,0.75,0.528,0.546,-1.6345,-2.381,0.4514999999999999,-3.4395,-5.0735,78.5,4,20,10,48,Balanced,4
"Johnson, Dustin",308.15,0.607,0.556,0.625,-1.726,-0.0444999999999999,0.1435,0.6519999999999999,-1.0735,74.5,8,17,9,45,Balanced,9
"Johnson, Zach",284.29999999999995,0.607,0.5,0.4925,-0.2685,-0.212,-0.26,-1.805,-2.0735,75.5,4,22,9,70,Balanced,8
"Jones, Matt",304.05,0.625,0.6527499999999999,0.5225,0.3,0.45875,0.0769999999999999,0.4267500000000001,0.7272500000000001,72.25,14,40,17,84,Aggressive,3
"Kim, Si Woo",291.5,0.7145,0.62475,0.57775,0.1554999999999999,2.14,-0.3579999999999999,1.32175,1.47725,71.5,14,46,12,95,Aggressive,6
"Kisner, Kevin",290.7,0.7145,0.7225,0.4375,-1.386,-0.106,-0.012,0.3119999999999999,-1.0735,74.5,4,22,8,44,Balanced,12
"Koepka, Brooks",306.20000000000005,0.607,0.6115,0.391,-0.8705,-0.8315,0.7135,-0.2035,-1.0735,74.5,5,21,10,64,Balanced,1
"Kokrak, Jason",300.9,0.57125,0.56925,0.5995,0.948,-0.3304999999999999,-0.484,-1.721,-0.77275,73.75,15,37,14,80,Aggressive,2
"Kuchar, Matt",284.05,0.786,0.528,0.6805,-0.0829999999999999,-1.55,-0.8734999999999999,-0.4910000000000001,-0.5734999999999999,74.0,8,18,8,78,Balanced,5
"Laird, Martin",289.35,0.6427499999999999,0.6665,0.603,-0.8434999999999999,1.9,-0.5695,1.0705,0.22725,72.75,13,43,16,93,Aggressive,6
"Langer, Bernhard",262.65,0.786,0.528,0.528,0.0945,0.4335,-1.1909999999999998,-2.168,-2.0735,75.5,3,23,10,68,Balanced,10
"Leishman, Marc",295.54999999999995,0.518,0.6387499999999999,0.6427499999999999,0.43525,1.46575,-0.45325,2.04175,2.47725,70.5,17,44,11,40,Aggressive,1
"Long, Joe",287.65,0.786,0.611,0.3249999999999999,-1.383,-1.0855,-0.6165,-2.191,-3.5735,77.0,4,21,9,73,Balanced,12
"Lowry, Shane",301.1,0.625,0.68075,0.632,0.106,1.4865,-0.3915,0.871,0.97725,72.0,16,42,12,61,Aggressive,6
"Lyle, Sandy",257.1,0.7145,0.5555,0.432,-1.457,-0.7055,-1.4795,-3.117,-4.5735,78.0,5,19,9,44,Balanced,10
"MacIntyre, Robert",298.175,0.67825,0.625,0.5945,0.90925,-0.59775,0.31475,0.5680000000000001,1.4772500000000002,71.5,21,33,17,75,Aggressive,7
"Matsuyama, Hideki",297.125,0.6427499999999999,0.6945,0.69475,0.2264999999999999,1.5,0.35,3.2505,3.47725,69.5,13,47,9,99,Balanced,1
"McIlroy, Rory",306.85,0.5715,0.528,0.548,0.4679999999999999,-1.6595,0.005,-2.0415,-1.5735,75.0,4,23,8,44,Balanced,14
"Mickelson, Phil",297.45,0.67875,0.66675,0.5972500000000001,-0.8494999999999999,0.7070000000000001,0.4295,1.82675,0.97725,72.0,14,44,14,42,Aggressive,3
"Mize, Larry",256.75,0.8215,0.361,0.3625,-2.3305,-2.8015,-1.5564999999999998,-5.7435,-8.0735,81.5,2,16,15,56,Balanced,1
"Molinari, Francesco",291.7,0.6427499999999999,0.5835,0.51,-0.5915,-0.3957499999999999,-0.432,-0.6817500000000001,-1.2727499999999998,74.25,11,41,17,49,Balanced,8
"Morikawa, Collin",293.725,0.8035,0.70825,0.45725,-0.1434999999999999,0.612,0.611,1.3704999999999998,1.22725,71.75,18,39,13,90,Aggressive,3
"Munoz, Sebastian",293.1,0.66075,0.6527499999999999,0.586,-0.20375,0.3245,-0.10575,0.1807499999999999,-0.02275,73.0,18,36,15,56,Aggressive,6
"Na, Kevin",290.55,0.75,0.5695,0.67825,1.802,-0.57975,0.13275,-0.325,1.4772500000000002,71.5,12,51,8,62,Balanced,7
"Niemann, Joaquin",312.025,0.58925,0.66675,0.589,0.5855,0.0105,-0.207,-0.6085,-0.0227499999999999,73.0,13,45,12,70,Aggressive,2
"Olazabal, Jose Maria",259.45,0.768,0.4305,0.7295,1.2305,-1.1105,-1.6974999999999998,-2.2535,-1.0227499999999998,74.0,11,46,12,61,Balanced,1
"Oosthuizen, Louis",285.475,0.7502500000000001,0.66675,0.60625,0.45375,0.36775,-0.1755,0.2729999999999999,0.72725,72.25,11,49,12,62,Balanced,7
"Ortiz, Carlos",308.1,0.786,0.5555,0.396,-1.1760000000000002,-0.8539999999999999,1.266,-1.898,-3.0735,76.5,5,22,5,62,Conservative,1
"Osborne, Charles",300.35,0.4645,0.583,0.4155,-1.033,-0.5995,-0.7255,-1.5415,-2.5735,76.0,5,18,13,58,Balanced,12
"Palmer, Ryan",305.35,0.6247499999999999,0.6387499999999999,0.4785,0.472,0.89175,-0.0257499999999999,0.0050000000000001,0.4772499999999999,72.5,16,37,14,90,Aggressive,3
"Pan, C.T.",293.6,0.7145,0.6665,0.3095,-1.4405,0.1549999999999999,0.315,-0.1335,-1.5735,75.0,5,23,6,56,Conservative,12
"Perez, Victor",293.95000000000005,0.7855,0.611,0.432,-0.226,-0.263,0.3145,-1.8475,-2.0735,75.5,6,19,9,97,Balanced,8
"Poulter, Ian",277.42499999999995,0.7502500000000001,0.48575,0.69275,1.588,-0.60725,-0.543,-0.861,0.72725,72.25,14,44,13,63,Aggressive,5
"Rahm, Jon",310.175,0.75,0.69425,0.748,0.0844999999999999,-0.197,1.7055,2.39275,2.47725,70.5,13,49,9,66,Balanced,1
"Reed, Patrick",294.8,0.66075,0.528,0.62025,1.6795,0.39225,-0.22375,0.297,1.97725,71.0,16,42,12,48,Aggressive,7
"Rose, Justin",290.45,0.66075,0.69425,0.53675,1.51175,0.6422499999999999,-0.18425,0.7155,2.22725,70.75,18,38,15,57,Aggressive,7
"Schauffele, Xander",312.925,0.732,0.70825,0.63525,-0.26725,0.6507499999999999,0.8315,2.994,2.72725,70.25,19,41,9,66,Balanced,13
"Scheffler, Scottie",306.875,0.6605,0.6805,0.59275,-0.57975,0.8545,0.635,1.8065,1.22725,71.75,14,43,13,74,Aggressive,3
"Schwartzel, Charl",295.75,0.80375,0.68075,0.5735,0.1587499999999999,0.742,0.66625,0.5682499999999999,0.7272500000000001,72.25,13,45,14,82,Aggressive,3
"Scott, Adam",303.775,0.6427499999999999,0.6112500000000001,0.48625,0.06325,-1.6967499999999998,0.35275,-1.83675,-1.77275,74.75,11,42,17,48,Balanced,14
"Simpson, Webb",287.2,0.69625,0.625,0.69675,1.1845,0.95625,-0.7857500000000001,0.2924999999999999,1.47725,71.5,19,39,11,45,Aggressive,7
"Singh, Vijay",297.4,0.4639999999999999,0.5,0.393,-0.7635,-1.7245,-1.073,-5.310499999999999,-6.0735,79.5,2,18,12,54,Balanced,1
"Smith, Cameron",296.85,0.6785,0.70825,0.61075,-0.1715000000000001,0.6519999999999999,0.33475,1.89825,1.72725,71.25,12,47,9,65,Balanced,3
"Spieth, Jordan",303.25,0.7502500000000001,0.778,0.525,-0.87575,1.119,0.78425,3.603,2.72725,70.25,18,43,8,55,Balanced,13
"Stenson, Henrik",275.35,0.8575,0.5975,0.609,0.8949999999999999,-0.6745000000000001,0.0325,-0.66825,0.2272499999999999,72.75,14,43,13,97,Aggressive,5
"Strafaci, Tyler",291.3,0.4285,0.4445,0.45,-0.8440000000000001,-2.0795,-2.518,-6.23,-7.0735,80.5,1,21,11,71,Balanced,1
"Streb, Robert",288.95,0.6785,0.5,0.516,1.1349999999999998,-1.2165,-0.587,-2.709,-1.5735,75.0,8,17,8,77,Balanced,1
"Swafford, Hudson",296.05,0.6075,0.5,0.3615,-0.823,-1.8295,-0.239,-3.751,-4.5735,78.0,4,17,14,91,Balanced,1
"Thomas, Justin",307.675,0.5535,0.6667500000000001,0.69175,-0.25675,0.223,-0.2125,1.2335000000000005,0.97725,72.0,17,40,14,42,Aggressive,6
"Thompson, Michael",289.95,0.75,0.6112500000000001,0.56625,-0.0885,-0.25,0.74,0.56525,0.47725,72.5,11,45,15,57,Balanced,3
"Todd, Brendon",275.0,0.83925,0.5835,0.543,-0.11325,0.4850000000000001,-0.889,-0.1595,-0.27275,73.25,11,45,16,80,Balanced,10
"Walker, Jimmy",302.2,0.5,0.528,0.54,1.5715,-0.657,-0.942,-2.145,-0.5735,74.0,6,20,10,84,Balanced,1
"Wallace, Matt",286.825,0.714,0.6527499999999999,0.4692499999999999,-0.485,0.477,-0.3375,0.96225,0.4772499999999999,72.5,13,42,15,74,Aggressive,6
"Watson, Bubba",302.40000000000003,0.6965,0.6805,0.54575,-0.4335,0.65025,0.947,1.16025,0.7272500000000001,72.25,13,46,12,82,Aggressive,3
"Weir, Mike",277.1,0.6785,0.6115,0.5165,0.149,0.5665,-0.7455,-1.223,-1.0735,74.5,6,21,7,65,Balanced,10
"Westwood, Lee",292.55,0.643,0.5555,0.4875,-0.2530000000000001,-0.092,0.451,-0.8205,-1.0735,74.5,6,20,9,90,Balanced,8
"Wiesberger, Bernd",295.475,0.7677499999999999,0.6527499999999999,0.64,-0.6179999999999999,-0.48225,0.2292499999999999,0.595,-0.02275,73.0,17,37,16,74,Aggressive,3
"Willett, Danny",296.3,0.714,0.5,0.549,0.7535,-2.8905000000000003,0.5495,-1.828,-1.0735,74.5,7,17,12,81,Balanced,14
"Wolff, Matthew",,,,,,,,,-4.0735,77.5,3,22,10,80,Balanced,8
"Woodland, Gary",305.975,0.58925,0.6112500000000001,0.56525,1.237,-0.46025,-0.0117499999999999,-1.26025,-0.0227499999999999,73.0,14,40,18,99,Aggressive,2
"Woosnam, Ian",268.9,0.8215,0.389,0.6060000000000001,0.7035,-2.1635,-1.027,-3.777,-3.0735,76.5,5,19,10,68,Balanced,1
"Zalatoris, Will",305.125,0.69625,0.7362500000000001,0.5489999999999999,1.216,0.96775,0.97575,2.01075,3.22725,69.75,17,44,10,62,Aggressive,13
